name,measure,measure_info,geo_type_name,geo_place_name,data_value,Stations,Final Date
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Bensonhurst - Bay Ridge,11.47,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Coney Island - Sheepshead Bay,19.46,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Coney Island - Sheepshead Bay,17.63,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Rockaways,15.89,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Southeast Queens,24.02,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF34,East Harlem,27.76,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper West Side,30.23,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,32.21,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,23.2,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,22.28,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF34,East New York,30.26,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF34,East New York,24.99,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,East New York,16.12,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Fordham - Bronx Pk,21.15,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Fordham - Bronx Pk,23.33,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Pelham - Throgs Neck,18.58,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Pelham - Throgs Neck,18.72,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Flushing - Clearview,15.66,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper East Side-Gramercy,32.1,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper East Side-Gramercy,35.65,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper East Side-Gramercy,21.83,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Chelsea-Village,35.28,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Hunts Point and Longwood (CD2),20.85,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,Borough,Bronx,13.62,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,Borough,Bronx,13.16,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,Borough,Bronx,24.39,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,Borough,Bronx,14.97,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,Borough,Brooklyn,23.5,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,Borough,Brooklyn,10.82,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,East Flatbush - Flatbush,13.75,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Canarsie - Flatlands,17.0,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Canarsie - Flatlands,10.26,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Southwest Queens,26.12,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Southwest Queens,24.86,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Jamaica,24.81,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Jamaica,12.77,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,23.86,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,18.89,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,28.51,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Greenpoint,20.55,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Downtown - Heights - Slope,21.12,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Kingsbridge - Riverdale,14.77,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,17.94,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,25.99,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northeast Bronx,23.37,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,West Queens,26.21,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,West Queens,20.56,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,West Queens,18.56,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Washington Heights,30.54,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,CD,Morrisania and Crotona (CD3),27.71,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Morrisania and Crotona (CD3),25.3,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Lower East Side and Chinatown (CD3),31.8,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Lower East Side and Chinatown (CD3),21.27,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Lower East Side and Chinatown (CD3),19.36,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Hunts Point - Mott Haven,16.43,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Hunts Point - Mott Haven,24.22,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,Borough,Brooklyn,24.11,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Sunset Park,23.86,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Southeast Queens,13.02,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,East New York,19.75,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,East New York,13.39,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper West Side (CD7),33.62,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper West Side (CD7),28.43,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper West Side (CD7),27.42,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Sunset Park,14.4,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Sunset Park,14.14,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bayside Little Neck-Fresh Meadows,13.08,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bayside Little Neck-Fresh Meadows,11.98,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Pelham - Throgs Neck,12.84,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Pelham - Throgs Neck,12.14,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Williamsburg - Bushwick,26.68,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Williamsburg - Bushwick,15.84,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,East New York,14.16,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Sunset Park,25.37,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Sunset Park,18.87,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Sunset Park,18.03,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Southeast Queens,22.67,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper West Side (CD7),19.63,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,CD,Rockaway and Broad Channel (CD14),14.55,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Rockaway and Broad Channel (CD14),14.15,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Rockaway and Broad Channel (CD14),13.88,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Pelham - Throgs Neck,16.19,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Williamsburg - Bushwick,27.13,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper West Side,31.95,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper West Side,29.3,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper West Side,20.87,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper West Side,25.25,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper West Side,19.62,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,Borough,Staten Island,16.17,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper West Side (CD7),28.89,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper West Side (CD7),30.21,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Borough Park,23.32,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Canarsie - Flatlands,19.21,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Canarsie - Flatlands,20.22,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Canarsie - Flatlands,16.52,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,25.24,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,26.29,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,18.94,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,South Bronx,18.59,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,South Bronx,23.64,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,CD,Coney Island (CD13),23.05,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Borough Park,28.09,Winter,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Borough Park,23.5,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Canarsie - Flatlands,20.3,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Jamaica,22.78,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Jamaica,18.82,Annual,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Jamaica,12.77,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Jamaica,24.81,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Jamaica,9.35,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,26.18,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,16.21,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,South Bronx,27.47,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF34,South Bronx,14.49,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,South Bronx,16.75,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,South Bronx,15.38,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Borough Park,20.23,Annual,2013
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Canarsie - Flatlands,26.24,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Jamaica,28.44,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Jamaica,18.49,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Queens Village (CD13),19.33,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Queens Village (CD13),19.92,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Queens Village (CD13),12.11,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Queens Village (CD13),18.04,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,Borough,Queens,14.82,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,31.48,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,21.87,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,11.34,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,10.37,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,8.64,Summer,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,20.47,Winter,2016
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Greenpoint,16.36,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Kingsbridge - Riverdale,11.69,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Washington Heights,25.92,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Washington Heights,16.69,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Long Island City - Astoria,16.21,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,16.03,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,23.14,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Williamsburg - Bushwick,19.04,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,21.77,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,15.45,Annual,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Northern SI,14.76,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper East Side (CD8),25.77,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper East Side (CD8),26.54,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,CD,Central Harlem (CD10),23.25,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,CD,Washington Heights and Inwood (CD12),16.63,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,CD,Bay Ridge and Dyker Heights (CD10),23.62,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Bay Ridge and Dyker Heights (CD10),19.16,Annual,2015
Nitrogen dioxide (NO2),Mean,ppb,CD,Throgs Neck and Co-op City (CD10),21.33,Annual,2009
Nitrogen dioxide (NO2),Mean,ppb,CD,Throgs Neck and Co-op City (CD10),20.44,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Throgs Neck and Co-op City (CD10),19.26,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,CD,Throgs Neck and Co-op City (CD10),15.54,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,CD,Williamsbridge and Baychester (CD12),20.59,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Williamsbridge and Baychester (CD12),16.48,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,CD,Williamsbridge and Baychester (CD12),18.66,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,CD,Jamaica and Hollis (CD12),13.55,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Greenpoint,17.27,Summer,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Greenpoint,26.69,Winter,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Greenpoint,19.63,Annual,2020
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Kingsbridge - Riverdale,20.79,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Southern SI,14.86,Annual,2011
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Bedford Stuyvesant - Crown Heights,26.39,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Sunset Park,22.28,Summer,2009
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Fordham - Bronx Pk,16.03,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Crotona -Tremont,25.56,Winter,2014
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Bedford Stuyvesant - Crown Heights,14.02,Summer,2018
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Bedford Stuyvesant - Crown Heights,15.17,Summer,2017
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Sunset Park,24.12,Winter,2011
Nitrogen dioxide (NO2),Mean,ppb,CD,Clinton and Chelsea (CD4),22.28,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,CD,Stuyvesant Town and Turtle Bay (CD6),22.13,Annual,2021
Nitrogen dioxide (NO2),Mean,ppb,CD,Belmont and East Tremont (CD6),30.22,Winter,2010
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Southern SI,17.87,Winter,2009
